Link,Sale Price,PDP Price,Result
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p,133.81,133.81,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=87,133.81,133.81,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=87&size=32Hx80Wx32D,165.88,165.88,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=87&size=36Hx80Wx36D,190.11,190.11,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=87&size=32Hx80Wx36D,175.20,175.20,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=87&size=32Hx84Wx36D,181.79,181.79,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=87&size=36Hx56Wx36D,147.61,147.61,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=89,133.81,133.81,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=89&size=32Hx80Wx32D,165.88,165.88,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=89&size=36Hx80Wx36D,190.11,190.11,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=89&size=32Hx80Wx36D,175.20,175.20,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=89&size=32Hx84Wx36D,181.79,181.79,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=89&size=36Hx56Wx36D,147.61,147.61,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=91,133.81,133.81,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=91&size=32Hx80Wx32D,165.88,165.88,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=91&size=36Hx80Wx36D,190.11,190.11,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=91&size=32Hx80Wx36D,175.20,175.20,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=91&size=32Hx84Wx36D,181.79,181.79,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=81&color=91&size=36Hx56Wx36D,147.61,147.61,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=55,178.81,178.81,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=55&size=32Hx80Wx32D,221.66,221.66,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=55&size=36Hx80Wx36D,254.05,254.05,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=55&size=32Hx80Wx36D,234.11,234.11,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=55&size=32Hx84Wx36D,242.93,242.93,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=55&size=36Hx56Wx36D,197.25,197.25,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=84,178.81,178.81,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=84&size=32Hx80Wx32D,221.66,221.66,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=84&size=36Hx80Wx36D,254.05,254.05,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=84&size=32Hx80Wx36D,234.11,234.11,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=84&size=32Hx84Wx36D,242.93,242.93,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=84&size=36Hx56Wx36D,197.25,197.25,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=85,178.81,178.81,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=85&size=32Hx80Wx32D,221.66,221.66,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=85&size=36Hx80Wx36D,254.05,254.05,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=85&size=32Hx80Wx36D,234.11,234.11,Pass
https://betaca.alphaprints.in/patio-furniture-covers/sofa-covers/lounge-loveseat-covers/modular-sofa-loveseat-covers-p?fabric=83&color=85&size=32Hx84Wx36D,242.93,242.93,Pass
